Rk,Season,Team,Comp,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
151,2017-2018,Liverpool,eng Premier League,38,21,12,5,75,1.97,3420,111,4,84,38,46,60.3,17,44.7,80,2,3,1,72.9,70.6,39.1,41.5,52.7,47.7,9.1,9.4,5.3,0.11,635,0.13,0.35,226,35.6,17.7,22
152,2017-2018,Burnley,eng Premier League,38,14,12,12,54,1.42,3420,83,7,36,39,-3,43.7,12,31.6,35,0,0,0,32.3,32.3,-18.9,-15.4,23.6,23.5,2.7,2.7,2.4,0.09,378,0.09,0.28,126,33.3,17,16
153,2017-2018,Leicester City,eng Premier League,38,12,11,15,47,1.24,3420,107,9,56,60,-4,48,9,23.7,48,5,6,1,50,45.3,1.9,0.3,34.9,31.1,3,2.7,3.1,0.11,417,0.12,0.35,137,32.9,17.6,11
154,2017-2018,Newcastle Utd,eng Premier League,38,12,8,18,44,1.16,3420,112,10,39,47,-8,41.7,9,23.7,38,0,1,1,41.6,40.9,-10.8,-6.8,32.1,26.1,-3.6,-2.9,-3.1,0.09,450,0.08,0.26,146,32.4,19.2,21
155,2017-2018,Manchester City,eng Premier League,38,32,4,2,100,2.63,3420,106,1,106,27,79,71,18,47.4,97,6,8,2,78.6,72.7,54.8,50.5,57.9,60.7,24.4,24.3,27.1,0.11,656,0.15,0.38,254,38.7,17.8,30
156,2017-2018,Chelsea,eng Premier League,38,21,7,10,70,1.84,3420,109,5,62,38,24,55.6,16,42.1,57,3,3,0,54.4,52,20.6,19.8,41.5,43.3,5.6,5,0.5,0.09,603,0.09,0.27,210,34.8,17.9,20
157,2017-2018,Brighton,eng Premier League,38,9,13,16,40,1.05,3420,101,15,34,54,-20,43.7,10,26.3,28,5,7,2,37,31.8,-13.8,-16.6,26.2,22.5,-4,-3.8,-1.2,0.09,377,0.07,0.25,110,29.2,18.3,4
158,2017-2018,Everton,eng Premier League,38,13,10,15,49,1.29,3420,114,8,44,58,-14,45.5,10,26.3,37,5,8,3,40.5,34.1,-11.9,-14.5,24.7,24.5,1.5,2.9,1.3,0.1,351,0.11,0.34,110,31.3,17.6,8
159,2017-2018,Huddersfield,eng Premier League,38,9,10,19,37,0.97,3420,112,16,28,58,-30,45.7,10,26.3,23,2,2,0,31.3,29.8,-17.2,-14,23.7,19.8,-6.3,-6.8,-4.7,0.08,360,0.06,0.22,106,29.4,18.8,14
160,2017-2018,Swansea City,eng Premier League,38,8,9,21,33,0.87,3420,109,18,28,56,-28,45.3,9,23.7,26,1,1,0,31.6,30.8,-27,-23,20.2,19.7,-4.6,-4.8,-0.2,0.1,338,0.08,0.27,95,28.1,18.2,15
